#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.910000000000001E+00  0.227610522027261E+00  0.512771632100083E-02  0.439124130419549E+01  0.989279384117372E-01
     0.920000000000001E+00  0.227532089395682E+00  0.519630616015889E-02  0.439269342045901E+01  0.100318948158236E+00
     0.930000000000001E+00  0.227453098476348E+00  0.526513650751378E-02  0.439415621568067E+01  0.101716936220610E+00
     0.940000000000001E+00  0.227373554226061E+00  0.533419560044702E-02  0.439562961518061E+01  0.103121703112312E+00
     0.950000000000001E+00  0.227293460736843E+00  0.540347128429908E-02  0.439711356177874E+01  0.104533041944317E+00
     0.960000000000001E+00  0.227212821191354E+00  0.547295108674593E-02  0.439860801667134E+01  0.105950739922096E+00
     0.970000000000001E+00  0.227131637826071E+00  0.554262229852944E-02  0.440011296015082E+01  0.107374579967833E+00
     0.980000000000002E+00  0.227049911903238E+00  0.561247205960891E-02  0.440162839214821E+01  0.108804342448903E+00
     0.990000000000002E+00  0.226967643692388E+00  0.568248744963324E-02  0.440315433258315E+01  0.110239806990344E+00
     0.100000000000000E+01  0.226884832462233E+00  0.575265558148671E-02  0.440469082150531E+01  0.111680754346035E+00
     0.101000000000000E+01  0.226801476483411E+00  0.582296369654107E-02  0.440623791901804E+01  0.113126968301026E+00
     0.102000000000000E+01  0.226717573042365E+00  0.589339926015788E-02  0.440779570497917E+01  0.114578237575775E+00
     0.103000000000000E+01  0.226633118466517E+00  0.596395005593334E-02  0.440936427847605E+01  0.116034357701930E+00
     0.104000000000000E+01  0.226548108160548E+00  0.603460427716230E-02  0.441094375707897E+01  0.117495132839191E+00
     0.105000000000000E+01  0.226462536653451E+00  0.610535061402435E-02  0.441253427588036E+01  0.118960377503301E+00
     0.106000000000000E+01  0.226376397655716E+00  0.617617833505955E-02  0.441413598633273E+01  0.120429918176616E+00
     0.107000000000000E+01  0.226289684125895E+00  0.624707736160309E-02  0.441574905490108E+01  0.121903594774765E+00
     0.108000000000000E+01  0.226202388345518E+00  0.631803833398531E-02  0.441737366155060E+01  0.123381261945755E+00
     0.109000000000000E+01  0.226114502001183E+00  0.638905266847037E-02  0.441900999809368E+01  0.124862790181277E+00
     0.110000000000000E+01  0.226026016272599E+00  0.646011260409513E-02  0.442065826642093E+01  0.126348066723703E+00
     0.111000000000000E+01  0.225936921925082E+00  0.653121123877967E-02  0.442231867664653E+01  0.127836996256665E+00
     0.112000000000000E+01  0.225847209405174E+00  0.660234255429560E-02  0.442399144519464E+01  0.129329501371201E+00
     0.113000000000000E+01  0.225756868937833E+00  0.667350142989959E-02  0.442567679285820E+01  0.130825522804117E+00
     0.114000000000000E+01  0.225665890623777E+00  0.674468364465351E-02  0.442737494285844E+01  0.132325019449350E+00
     0.115000000000000E+01  0.225574264535583E+00  0.681588586865617E-02  0.442908611893301E+01  0.133827968147203E+00
     0.116000000000000E+01  0.225481980811181E+00  0.688710564359679E-02  0.443081054348037E+01  0.135334363260120E+00
     0.117000000000000E+01  0.225389029743629E+00  0.695834135320366E-02  0.443254843578197E+01  0.136844216046641E+00
     0.118000000000000E+01  0.225295401865923E+00  0.702959218429772E-02  0.443430001032762E+01  0.138357553848262E+00
     0.119000000000000E+01  0.225201088030112E+00  0.710085807926992E-02  0.443606547525842E+01  0.139874419105592E+00
     0.120000000000000E+01  0.225106079479697E+00  0.717213968087899E-02  0.443784503094708E+01  0.141394868222197E+00
     0.121000000000000E+01  0.225010367914881E+00  0.724343827031712E-02  0.443963886872496E+01  0.142918970295071E+00
     0.122000000000000E+01  0.224913945550030E+00  0.731475569951323E-02  0.444144716976785E+01  0.144446805731393E+00
     0.123000000000000E+01  0.224816805163046E+00  0.738609431864235E-02  0.444327010414658E+01  0.145978464771035E+00
     0.124000000000000E+01  0.224718940136468E+00  0.745745689978698E-02  0.444510783004638E+01  0.147514045933759E+00
     0.125000000000000E+01  0.224620344490081E+00  0.752884655765797E-02  0.444696049315872E+01  0.149053654409463E+00
     0.126000000000000E+01  0.224521012905099E+00  0.760026666823159E-02  0.444882822624514E+01  0.150597400408623E+00
     0.127000000000000E+01  0.224420940739930E+00  0.767172078610275E-02  0.445071114887212E+01  0.152145397489042E+00
     0.128000000000000E+01  0.224320124037637E+00  0.774321256129392E-02  0.445260936731550E+01  0.153697760873865E+00
     0.129000000000000E+01  0.224218559525203E+00  0.781474565620192E-02  0.445452297463203E+01  0.155254605774704E+00
     0.130000000000000E+01  0.224116244604821E+00  0.788632366331170E-02  0.445645205089370E+01  0.156816045732639E+00
     0.131000000000000E+01  0.224013177337371E+00  0.795795002426353E-02  0.445839666358216E+01  0.158382190989133E+00
     0.132000000000000E+01  0.223909356418200E+00  0.802962795082537E-02  0.446035686814053E+01  0.159953146898358E+00
     0.133000000000000E+01  0.223804781145509E+00  0.810136034830254E-02  0.446233270867703E+01  0.161529012391856E+00
     0.134000000000000E+01  0.223699451381378E+00  0.817314974190666E-02  0.446432421881977E+01  0.163109878506711E+00
     0.135000000000000E+01  0.223593367505744E+00  0.824499820661024E-02  0.446633142271625E+01  0.164695826988144E+00
     0.136000000000000E+01  0.223486530363377E+00  0.831690730102702E-02  0.446835433617686E+01  0.166286928978227E+00
     0.137000000000000E+01  0.223378941204186E+00  0.838887800588017E-02  0.447039296795536E+01  0.167883243802479E+00
     0.138000000000000E+01  0.223270601616951E+00  0.846091066765130E-02  0.447244732116443E+01  0.169484817867198E+00
     0.139000000000000E+01  0.223161513456814E+00  0.853300494803408E-02  0.447451739481872E+01  0.171091683680670E+00
     0.140000000000000E+01  0.223051678766825E+00  0.860515977984911E-02  0.447660318549960E+01  0.172703859012313E+00
     0.141000000000000E+01  0.222941099693911E+00  0.867737333010505E-02  0.447870468913297E+01  0.174321346204252E+00
     0.142000000000000E+01  0.222829778399742E+00  0.874964297091115E-02  0.448082190287001E+01  0.175944131650210E+00
     0.143000000000000E+01  0.222717716967036E+00  0.882196525895658E-02  0.448295482705904E+01  0.177572185456804E+00
     0.144000000000000E+01  0.222604917302027E+00  0.889433592426594E-02  0.448510346729266E+01  0.179205461301944E+00
     0.145000000000000E+01  0.222491381033756E+00  0.896674986891725E-02  0.448726783651564E+01  0.180843896504776E+00
     0.146000000000000E+01  0.222377109411270E+00  0.903920117636510E-02  0.448944795717040E+01  0.182487412320091E+00
     0.147000000000000E+01  0.222262103199626E+00  0.911168313194501E-02  0.449164386336027E+01  0.184135914469080E+00
     0.148000000000000E+01  0.222146362575882E+00  0.918418825504302E-02  0.449385560300543E+01  0.185789293916004E+00
     0.149000000000000E+01  0.222029887026468E+00  0.925670834329998E-02  0.449608323996151E+01  0.187447427897676E+00
     0.150000000000000E+01  0.221912675247112E+00  0.932923452907725E-02  0.449832685607556E+01  0.189110181209993E+00
     0.151000000000000E+01  0.221794725047049E+00  0.940175734824626E-02  0.450058655314297E+01  0.190777407751489E+00
     0.152000000000000E+01  0.221676033258859E+00  0.947426682117573E-02  0.450286245473662E+01  0.192448952320488E+00
     0.153000000000000E+01  0.221556595655641E+00  0.954675254558365E-02  0.450515470787190E+01  0.194124652657476E+00
     0.154000000000000E+01  0.221436406877090E+00  0.961920380069823E-02  0.450746348447546E+01  0.195804341719838E+00
     0.155000000000000E+01  0.221315460366115E+00  0.969160966193658E-02  0.450978898262267E+01  0.197487850170873E+00
     0.156000000000000E+01  0.221193748317449E+00  0.976395912507031E-02  0.451213142751407E+01  0.199175009060222E+00
     0.157000000000000E+01  0.221071261639813E+00  0.983624123860710E-02  0.451449107215878E+01  0.200865652667424E+00
     0.158000000000000E+01  0.220947989932836E+00  0.990844524288348E-02  0.451686819773992E+01  0.202559621475771E+00
     0.159000000000000E+01  0.220823921479945E+00  0.998056071414420E-02  0.451926311363823E+01  0.204256765238884E+00
     0.160000000000000E+01  0.220699043258113E+00  0.100525777116863E-01  0.452167615709589E+01  0.205956946098427E+00
     0.161000000000000E+01  0.220573340965139E+00  0.101244869259737E-01  0.452410769250848E+01  0.207660041708026E+00
     0.162000000000000E+01  0.220446799064881E+00  0.101962798254940E-01  0.452655811033734E+01  0.209365948315607E+00
     0.163000000000000E+01  0.220319400850536E+00  0.102679488000335E-01  0.452902782564276E+01  0.211074583754768E+00
     0.164000000000000E+01  0.220191128525662E+00  0.103394872979990E-01  0.453151727624582E+01  0.212785890295059E+00
     0.165000000000000E+01  0.220061963302471E+00  0.104108899554160E-01  0.453402692053143E+01  0.214499837301127E+00
     0.166000000000000E+01  0.219931885516392E+00  0.104821527142888E-01  0.453655723491524E+01  0.216216423652446E+00
     0.167000000000000E+01  0.219800874755683E+00  0.105532729281168E-01  0.453910871100244E+01  0.217935679877737E+00
     0.168000000000000E+01  0.219668910004493E+00  0.106242494525259E-01  0.454168185247405E+01  0.219657669962069E+00
     0.169000000000000E+01  0.219535969797514E+00  0.106950827191873E-01  0.454427717174180E+01  0.221382492789313E+00
     0.170000000000000E+01  0.219402032384063E+00  0.107657747914583E-01  0.454689518641850E+01  0.223110283188530E+00
     0.171000000000000E+01  0.219267075899221E+00  0.108363294004877E-01  0.454953641565595E+01  0.224841212559525E+00
     0.172000000000000E+01  0.219131078539456E+00  0.109067519608613E-01  0.455220137640494E+01  0.226575489060080E+00
     0.173000000000000E+01  0.218994018740119E+00  0.109770495652359E-01  0.455489057965435E+01  0.228313357345282E+00
